Time [s],Current [A],Voltage [V],Discharge capacity [A.h],Cycle,Step
0.0,2.5,4.090477554389677,0.0,0.0,0.0
1.0,2.5,4.087861691854748,0.0006944444444444445,0.0,0.0
2.0,2.5,4.085417938266179,0.0013888888888888887,0.0,0.0
3.0,2.5,4.083108487597022,0.0020833333333333333,0.0,0.0
4.0,2.5,4.080934064378184,0.002777777777777777,0.0,0.0
5.0,2.5,4.078889293587259,0.0034722222222222216,0.0,0.0
6.0,2.5,4.076959803556664,0.004166666666666666,0.0,0.0
7.0,2.5,4.075139686136211,0.00486111111111111,0.0,0.0
8.0,2.5,4.073419262256829,0.005555555555555555,0.0,0.0
9.0,2.5,4.071784830071206,0.0062499999999999995,0.0,0.0
10.0,2.5,4.07023333280703,0.006944444444444444,0.0,0.0
11.0,2.5,4.0687534362795725,0.007638888888888889,0.0,0.0
12.0,2.5,4.067341482913999,0.008333333333333333,0.0,0.0
13.0,2.5,4.065992023463769,0.009027777777777779,0.0,0.0
14.0,2.5,4.064699187043615,0.009722222222222222,0.0,0.0
15.0,2.5,4.063459558413242,0.010416666666666668,0.0,0.0
16.0,2.5,4.0622686776543375,0.011111111111111112,0.0,0.0
17.0,2.5,4.061122659325795,0.011805555555555555,0.0,0.0
18.0,2.5,4.0600172414441165,0.012499999999999999,0.0,0.0
19.0,2.5,4.058948060614588,0.013194444444444443,0.0,0.0
20.0,2.5,4.057913899619495,0.013888888888888886,0.0,0.0
21.0,2.5,4.056913748726568,0.01458333333333333,0.0,0.0
22.0,2.5,4.055943022283259,0.015277777777777776,0.0,0.0
23.0,2.5,4.054999832201249,0.015972222222222218,0.0,0.0
24.0,2.5,4.054084677512776,0.016666666666666663,0.0,0.0
25.0,2.5,4.053193939144995,0.01736111111111111,0.0,0.0
26.0,2.5,4.052325832108563,0.018055555555555554,0.0,0.0
27.0,2.5,4.051483964098596,0.018749999999999996,0.0,0.0
28.0,2.5,4.0506650951998076,0.01944444444444444,0.0,0.0
29.0,2.5,4.04986824812785,0.020138888888888887,0.0,0.0
30.0,2.5,4.049091430092695,0.020833333333333332,0.0,0.0
31.0,2.5,4.048333282246571,0.021527777777777778,0.0,0.0
32.0,2.5,4.047592369259704,0.022222222222222223,0.0,0.0
33.0,2.5,4.046869626104172,0.022916666666666665,0.0,0.0
34.0,2.5,4.046165568997177,0.02361111111111111,0.0,0.0
35.0,2.5,4.045478610862556,0.024305555555555556,0.0,0.0
36.0,2.5,4.044807713117628,0.024999999999999998,0.0,0.0
37.0,2.5,4.044151243484704,0.025694444444444443,0.0,0.0
38.0,2.5,4.0435087826375575,0.02638888888888889,0.0,0.0
39.0,2.5,4.04287967133131,0.027083333333333334,0.0,0.0
40.0,2.5,4.042264914090813,0.027777777777777776,0.0,0.0
41.0,2.5,4.041663278249516,0.02847222222222222,0.0,0.0
42.0,2.5,4.041074285553588,0.029166666666666667,0.0,0.0
43.0,2.5,4.0404974577492085,0.029861111111111113,0.0,0.0
44.0,2.5,4.039932316582551,0.030555555555555555,0.0,0.0
45.0,2.5,4.039378383799791,0.03125,0.0,0.0
46.0,2.5,4.0388354066668555,0.03194444444444444,0.0,0.0
47.0,2.5,4.038302928085843,0.03263888888888889,0.0,0.0
48.0,2.5,4.037780413372969,0.03333333333333333,0.0,0.0
49.0,2.5,4.037267411191323,0.034027777777777775,0.0,0.0
50.0,2.5,4.036763470203992,0.034722222222222224,0.0,0.0
51.0,2.5,4.036268139074065,0.035416666666666666,0.0,0.0
52.0,2.5,4.035781442471591,0.03611111111111111,0.0,0.0
53.0,2.5,4.035304900603643,0.03680555555555556,0.0,0.0
54.0,2.5,4.034836806718275,0.0375,0.0,0.0
55.0,2.5,4.03437686475057,0.03819444444444445,0.0,0.0
56.0,2.5,4.0339247786356145,0.03888888888888889,0.0,0.0
57.0,2.5,4.033480252308496,0.03958333333333333,0.0,0.0
58.0,2.5,4.033042989704299,0.04027777777777778,0.0,0.0
59.0,2.5,4.0326134908017925,0.04097222222222222,0.0,0.0
60.0,2.5,4.032191356264848,0.041666666666666664,0.0,0.0
61.0,2.5,4.031776133631283,0.04236111111111111,0.0,0.0
62.0,2.5,4.031367592171838,0.043055555555555555,0.0,0.0
63.0,2.5,4.03096550115726,0.04375,0.0,0.0
64.0,2.5,4.030569629858283,0.044444444444444446,0.0,0.0
65.0,2.5,4.030180023480904,0.04513888888888889,0.0,0.0
66.0,2.5,4.029797212232882,0.04583333333333333,0.0,0.0
67.0,2.5,4.029420455435556,0.04652777777777778,0.0,0.0
68.0,2.5,4.02904959042578,0.04722222222222222,0.0,0.0
69.0,2.5,4.028684454540408,0.04791666666666667,0.0,0.0
70.0,2.5,4.028324885116298,0.04861111111111111,0.0,0.0
71.0,2.5,4.027970719490304,0.049305555555555554,0.0,0.0
72.0,2.5,4.027622066001527,0.049999999999999996,0.0,0.0
73.0,2.5,4.0272787271953465,0.050694444444444445,0.0,0.0
74.0,2.5,4.026940534524596,0.05138888888888889,0.0,0.0
75.0,2.5,4.026607373360263,0.052083333333333336,0.0,0.0
76.0,2.5,4.026279133073771,0.05277777777777778,0.0,0.0
77.0,2.5,4.025955707036971,0.05347222222222222,0.0,0.0
78.0,2.5,4.025636992622143,0.05416666666666667,0.0,0.0
79.0,2.5,4.025322891202002,0.05486111111111111,0.0,0.0
80.0,2.5,4.025013308149685,0.05555555555555555,0.0,0.0
81.0,2.5,4.024708152838771,0.05625,0.0,0.0
82.0,2.5,4.024407338643259,0.05694444444444444,0.0,0.0
83.0,2.5,4.02411078293758,0.057638888888888885,0.0,0.0
84.0,2.5,4.023818407096604,0.058333333333333334,0.0,0.0
85.0,2.5,4.023530210253594,0.059027777777777776,0.0,0.0
86.0,2.5,4.023246085753429,0.059722222222222225,0.0,0.0
87.0,2.5,4.022965961833933,0.06041666666666667,0.0,0.0
88.0,2.5,4.022689780479886,0.06111111111111111,0.0,0.0
89.0,2.5,4.022417487948816,0.06180555555555556,0.0,0.0
90.0,2.5,4.022149034771002,0.0625,0.0,0.0
91.0,2.5,4.0218843757494716,0.06319444444444444,0.0,0.0
92.0,2.5,4.021623469960002,0.06388888888888888,0.0,0.0
93.0,2.5,4.021366280751124,0.06458333333333334,0.0,0.0
94.0,2.5,4.021112775744113,0.06527777777777778,0.0,0.0
95.0,2.5,4.020862926832999,0.06597222222222222,0.0,0.0
96.0,2.5,4.020616499325111,0.06666666666666667,0.0,0.0
97.0,2.5,4.02037277385173,0.06736111111111111,0.0,0.0
98.0,2.5,4.020132307418578,0.06805555555555555,0.0,0.0
99.0,2.5,4.019895043874517,0.06874999999999999,0.0,0.0
100.0,2.5,4.019660928907049,0.06944444444444443,0.0,0.0
101.0,2.5,4.0194299100423,0.07013888888888889,0.0,0.0
102.0,2.5,4.019201936645029,0.07083333333333333,0.0,0.0
103.0,2.5,4.018976959918623,0.07152777777777777,0.0,0.0
104.0,2.5,4.018754932905104,0.07222222222222222,0.0,0.0
105.0,2.5,4.018535810485124,0.07291666666666666,0.0,0.0
106.0,2.5,4.018319549377963,0.07361111111111111,0.0,0.0
107.0,2.5,4.018106108141534,0.07430555555555556,0.0,0.0
108.0,2.5,4.017895464032584,0.07499999999999998,0.0,0.0
109.0,2.5,4.017687581703134,0.07569444444444444,0.0,0.0
110.0,2.5,4.017482416128245,0.07638888888888888,0.0,0.0
111.0,2.5,4.017279934504323,0.07708333333333332,0.0,0.0
112.0,2.5,4.017080105931029,0.07777777777777777,0.0,0.0
113.0,2.5,4.016882901411266,0.07847222222222221,0.0,0.0
114.0,2.5,4.016688293851184,0.07916666666666666,0.0,0.0
115.0,2.5,4.016496258060185,0.0798611111111111,0.0,0.0
116.0,2.5,4.016306770750916,0.08055555555555555,0.0,0.0
117.0,2.5,4.016119810539271,0.08124999999999999,0.0,0.0
118.0,2.5,4.015935357944391,0.08194444444444443,0.0,0.0
119.0,2.5,4.015753395388668,0.08263888888888887,0.0,0.0
120.0,2.5,4.0155733368867885,0.08333333333333331,0.0,0.0
121.0,2.5,4.015395519941181,0.08402777777777776,0.0,0.0
122.0,2.5,4.015219938571445,0.08472222222222221,0.0,0.0
123.0,2.5,4.015046556314601,0.08541666666666665,0.0,0.0
124.0,2.5,4.014875337279639,0.0861111111111111,0.0,0.0
125.0,2.5,4.014706246147513,0.08680555555555554,0.0,0.0
126.0,2.5,4.014539248171156,0.08749999999999998,0.0,0.0
127.0,2.5,4.0143743091754605,0.08819444444444442,0.0,0.0
128.0,2.5,4.0142113955572905,0.08888888888888888,0.0,0.0
129.0,2.5,4.01405047428548,0.08958333333333332,0.0,0.0
130.0,2.5,4.013891512900835,0.09027777777777776,0.0,0.0
131.0,2.5,4.013734493740515,0.0909722222222222,0.0,0.0
132.0,2.5,4.013579414876585,0.09166666666666665,0.0,0.0
133.0,2.5,4.01342621905344,0.09236111111111109,0.0,0.0
134.0,2.5,4.013274878327543,0.09305555555555553,0.0,0.0
135.0,2.5,4.013125365442978,0.09374999999999997,0.0,0.0
136.0,2.5,4.0129776538314665,0.09444444444444443,0.0,0.0
137.0,2.5,4.0128317176123485,0.09513888888888887,0.0,0.0
138.0,2.5,4.012687531592597,0.09583333333333331,0.0,0.0
139.0,2.5,4.012545071266809,0.09652777777777775,0.0,0.0
140.0,2.5,4.012404312817215,0.0972222222222222,0.0,0.0
141.0,2.5,4.012265233113668,0.09791666666666665,0.0,0.0
142.0,2.5,4.012127809713647,0.0986111111111111,0.0,0.0
143.0,2.5,4.011992043481579,0.09930555555555554,0.0,0.0
144.0,2.5,4.011857911694005,0.09999999999999998,0.0,0.0
145.0,2.5,4.011725385243419,0.10069444444444442,0.0,0.0
146.0,2.5,4.011594445990381,0.10138888888888888,0.0,0.0
147.0,2.5,4.011465076562216,0.10208333333333332,0.0,0.0
148.0,2.5,4.011337260353011,0.10277777777777776,0.0,0.0
149.0,2.5,4.011210981523622,0.1034722222222222,0.0,0.0
150.0,2.5,4.011086225001661,0.10416666666666664,0.0,0.0
151.0,2.5,4.010962976481508,0.10486111111111109,0.0,0.0
152.0,2.5,4.0108412224243075,0.10555555555555554,0.0,0.0
153.0,2.5,4.010720950057968,0.10624999999999998,0.0,0.0
154.0,2.5,4.010602147377159,0.10694444444444443,0.0,0.0
155.0,2.5,4.010484803143314,0.10763888888888887,0.0,0.0
156.0,2.5,4.010368906884635,0.10833333333333331,0.0,0.0
157.0,2.5,4.010254448896081,0.10902777777777777,0.0,0.0
